ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,cor_logit
191.512135075041,10.8970832758587,19.61692,18.52246,18.04552,17.85269,17.82778,1237658493894918400,1907296765552388096,STAR,G2,sdss,1694,53472,81,189.992459314613,0.989382403887052,19.51689,18.60656,18.32804,18.227,18.18817,1237648705653703e3,4332726819063046144,STAR,F0IV (81937),boss,3848,55647,960,0.9657334680197657,-0.21052610262877605
190.633648745694,59.433406595563,18.23575,16.76959,16.18342,15.92145,15.80051,1237658311331741700,2754035911221078016,STAR,F9,segue1,2446,54571,308,190.03159772092,0.998913529536761,19.63283,18.80092,18.45502,18.34226,18.25259,1237648705653703e3,4332724620039790592,STAR,F3/F5V (30743),boss,3848,55647,952,0.9071492973597044,-0.21052610262877605
197.527848792172,49.7202435594384,19.99141,18.95238,18.48118,18.3257,18.26549,1237658205051945200,3646939413851774976,STAR,G2,segue2,3239,54888,544,196.092508399636,0.883856485672309,17.62233,16.67135,16.34919,16.20793,16.17142,1237648705656389600,331116310756878336,STAR,F5,sdss,294,51986,370,0.96533638129142,-0.21052610262877605
212.469857167698,47.4429118839101,20.08095,18.94374,18.82112,18.73107,18.80326,1237658205593207e3,1448054385597769728,STAR,F5,sdss,1286,52725,535,212.352260990447,0.85763587182273,18.70291,17.67241,17.59118,17.6014,17.61791,1237648705663467500,340165286453864448,STAR,A0,sdss,302,51688,522,0.9934842455441899,-0.21052610262877605
224.148854228431,32.2903057460149,19.55823,18.40077,17.91387,17.70318,17.60489,1237662224081617200,3732384387497566208,STAR,F2,segue2,3315,54942,95,223.653051210805,0.985322088163666,17.91137,16.9196,16.60059,16.47745,16.4292,1237648705668448300,605768543660697600,STAR,F5,sdss,538,52029,125,0.9768913680252901,-0.21052610262877605
130.125731852722,18.3987287703243,19.1324,17.82636,17.37228,17.20756,17.15667,1237667211580866800,2563711258557704192,STAR,F9,sdss,2277,53705,135,129.833739854376,-1.01152220759692,19.27663,18.37898,18.04254,17.91099,17.86989,1237648720134996500,8390285383791779840,STAR,F3/F5V (30743),boss,7452,56745,288,0.9473382584098914,-0.21052610262877605
131.731923775106,51.9326866794446,19.05227,17.10073,16.3301,16.01521,15.87952,1237651250949128400,503331715675088896,STAR,K3,sdss,447,51877,198,130.067201183087,-0.981732738889858,20.27494,18.75401,18.16793,17.94507,17.84498,1237648720135127300,8390275488187129856,STAR,G4V (32923),boss,7452,56745,252,0.834011319737585,-0.21052610262877605
130.473168936457,25.7348034129088,19.07044,16.68809,15.70999,15.35055,15.15995,1237664668424929300,3544472625281605632,STAR,K5,segue2,3148,54802,508,130.429328937172,-0.892624578308713,19.45038,17.51283,16.75954,16.44245,16.29058,1237648720135258600,8390235081134809088,STAR,K0IV (191026),boss,7452,56745,105,0.9236793100585365,-0.21052610262877605
131.797222851563,5.40637789015929,20.4191,18.62434,17.89794,17.65456,17.53553,1237658300596158700,2625669295987779584,STAR,K1,segue1,2332,54149,257,130.491650154997,-0.943087376874539,18.56201,17.17992,16.71265,16.55009,16.48406,1237648720135323600,8390235630890622976,STAR,G4V (32923),boss,7452,56745,107,0.8233144863146642,-0.21052610262877605
132.201495767232,6.86087588650855,18.7179,17.02538,16.39237,16.18204,16.07575,1237660413184311300,2608824228144769024,STAR,K1,segue1,2317,54152,415,130.494503739469,-0.863388292772001,19.17688,17.71785,17.20332,17.04001,16.98067,1237648720135323600,8390238379669692416,STAR,G8V (101501),boss,7452,56745,117,0.9152418222105481,-0.21052610262877605
149.411640026309,44.0658526950291,19.41953,17.98932,17.31648,17.01732,16.87859,1237658204500721700,3596230486411812864,STAR,F9,segue2,3194,54833,386,149.08588913558,-0.00554654057111206,19.23758,17.84179,17.3178,17.06694,16.94008,1237648721217192200,3228064509469943808,STAR,G2,segue1,2867,54479,398,0.9657369099744731,-0.21052610262877605
162.576870195251,48.5558174290542,19.82065,18.48129,17.95432,17.77498,17.70546,1237658205578854400,2713523847419684864,STAR,F9,segue1,2410,54087,382,161.276532311712,-0.163711854232385,17.1251,16.15409,15.83,15.69785,15.6484,1237648721222566e3,4316752563070279680,STAR,F3/F5V (30743),boss,3834,55569,190,0.9101430929380965,-0.21052610262877605
163.074601743507,48.7275562575165,19.1642,18.23949,17.91454,17.78911,17.72772,1237658205578985500,2713518349861545984,STAR,F5,segue1,2410,54087,362,162.549339508005,-0.0462264219252431,19.97889,19.00056,18.67904,18.56171,18.53009,1237648721223090400,4317912547854360576,STAR,F3/F5V (30743),boss,3835,55570,314,0.9702849394257792,-0.21052610262877605
165.589366648339,42.0254295037928,18.99268,17.83316,17.34707,17.16114,17.05757,1237662196130906e3,1618017448160684032,STAR,G2,sdss,1437,53046,361,165.562020847579,-0.205747082667739,19.16473,18.23162,17.93842,17.80543,17.79206,1237648721224401e3,4319004908160262144,STAR,F3/F5V (30743),boss,3836,55302,192,0.9565593870441117,-0.21052610262877605
171.823064915309,60.8010331618818,19.55464,18.45418,18.0795,17.94645,17.93468,1237655368748433400,1071955982654924800,STAR,F5,sdss,952,52409,361,169.994841259305,-0.115601561802395,19.24707,18.341919999999998,18.05363,17.95167,17.91345,1237648721226367e3,4322466175344680960,STAR,F0IV (81937),boss,3839,55575,496,0.9810653475558067,-0.21052610262877605
174.914207468553,0.00690078539448362,19.3907,17.6815,16.94233,16.67235,16.52411,1237674650463371300,3239376560712607744,STAR,K3,segue1,2877,54523,591,174.398054502707,-0.0969643197786732,17.77346,16.42565,15.93773,15.7709,15.70231,1237648721228267500,3222366290324776960,STAR,F9,segue1,2862,54471,148,0.46918489430837035,-0.21052610262877605
175.7167112623,27.0852552121204,19.48614,17.86115,17.14714,16.83241,16.64612,1237667442967445800,3626663869277118464,STAR,K1,segue2,3221,54864,510,174.626943271376,-0.20783793642366,19.40296,17.90884,17.36519,17.18142,17.09696,1237648721228398600,3222356394720126976,STAR,F9,segue1,2862,54471,112,0.7025931687624368,-0.21052610262877605
174.762169676055,58.247357596669,18.90506,17.18121,16.52621,16.28878,16.14036,1237657613412532500,3615266881298079744,STAR,K1,segue2,3211,54852,8,174.70855808751,-0.139581461282125,17.39249,15.83184,15.2745,15.07747,15.01533,1237648721228398600,3222357494231754752,STAR,F9,segue1,2862,54471,116,0.9343682817895431,-0.21052610262877605
175.079402011743,13.9039447663292,17.46011,16.06484,15.50196,15.30695,15.22045,1237664289387380700,3652575785400770560,STAR,F9,segue2,3244,54892,569,174.714537143108,-0.0674253409541117,18.09954,16.51808,15.95698,15.78274,15.71976,1237648721228398600,3222354195696871424,STAR,F9,segue1,2862,54471,104,0.9955853118131913,-0.21052610262877605
189.867895878683,29.6827808964588,18.9954,17.3156,16.60664,16.29512,16.13715,1237665441513865200,2766421628270176256,STAR,K3,segue1,2457,54180,311,189.171399821804,-0.0112263806639428,18.50506,16.89563,16.39534,16.18322,16.09045,1237648721234755600,3259616921250719744,STAR,F9,segue1,2895,54567,497,0.8924394715110818,-0.21052610262877605
199.450908900966,39.6578518701363,17.2289,15.8683,15.29695,15.06045,14.91757,1237662225682989e3,3648011987360784384,STAR,F9,segue2,3240,54883,350,197.598089342944,-0.135975861081641,18.5579,17.14885,16.59347,16.38316,16.30413,1237648721238425600,8394808774326460416,STAR,G8V (101501),boss,7456,56727,360,0.9253854090783238,-0.21052610262877605
199.381476448302,15.7335368271133,19.75443,18.08938,17.40086,17.13782,16.98215,1237668588655346e3,2787750498642533376,STAR,K3,segue1,2476,53826,81,197.629941423421,-0.0880789107079473,19.74102,18.56217,18.04181,17.8282,17.77071,1237648721238425900,8394808499448553472,STAR,F8V (G_243-63),boss,7456,56727,359,0.764136400381041,-0.21052610262877605
199.22670917956,-2.35251264498949,18.7548,17.58248,17.13587,16.98311,16.91142,1237650761862086700,384017108738009088,STAR,G2,sdss,341,51690,310,197.650167502153,-0.12936991261009,17.41107,16.39985,16.04374,15.91178,15.88332,1237648721238491100,8394807674814832640,STAR,F3/F5V (30743),boss,7456,56727,356,0.9706919873507922,-0.21052610262877605
198.863406368142,17.1025145435819,19.09054,17.55282,16.98342,16.77008,16.67504,1237668590265696500,2787859075415776256,STAR,F9,segue1,2476,53826,476,197.667996922548,-0.111678578350654,18.51373,17.49381,17.13918,17.00828,16.96524,1237648721238491100,8394806850181111808,STAR,F3/F5V (30743),boss,7456,56727,353,0.9391123368520737,-0.21052610262877605
199.239799834131,45.4497577021648,17.70119,16.7064,16.42252,16.28949,16.33157,1237661360223420400,1644995890361952256,STAR,F5,sdss,1461,53062,204,197.675286717581,-0.0672623115767511,18.94848,18.0781,17.80889,17.6861,17.67623,1237648721238491100,8394807399936925696,STAR,A2II (39866),boss,7456,56727,355,0.9780243176544713,-0.21052610262877605
198.881353024681,33.2110387935085,18.0414,16.66977,16.12904,15.9262,15.83489,1237665023836422100,3802260825478111232,STAR,F9,segue2,3377,54950,352,197.678061212086,-0.134401518526107,18.92962,17.51397,16.97804,16.78987,16.71168,1237648721238491100,8394808224570646528,STAR,G4V (32923),boss,7456,56727,358,0.9684205482368919,-0.21052610262877605
197.788025491966,-3.08743785786513,18.13057,16.99203,16.59705,16.44567,16.40262,1237650760787689700,382873346800379904,STAR,G0,sdss,340,51990,245,197.688418414715,-0.200664570512136,18.64265,17.70785,17.35586,17.2268,17.20019,1237648721238491100,8394796404820647936,STAR,F3/F5V (30743),boss,7456,56727,315,0.9909127363480955,-0.21052610262877605
198.701397641934,-0.412739006346433,19.09171,16.93303,16.00233,15.63252,15.43036,1237648704046891e3,332182012385323008,STAR,K5,sdss,295,51985,151,197.695349916926,-0.0671177124707808,19.20937,17.57849,16.90498,16.62667,16.48497,1237648721238491100,8394796954576461824,STAR,G0 (63791),boss,7456,56727,317,0.4500073314927839,-0.21052610262877605
197.787567754769,17.3820801031145,19.36507,17.87282,17.2636,17.00749,16.88551,1237668624628384e3,2787823891043687424,STAR,F9,segue1,2476,53826,348,197.695733233453,-0.0474148991221776,18.40417,16.91208,16.34446,16.15304,16.06708,1237648721238491100,8394797504332275712,STAR,G8V (101501),boss,7456,56727,319,0.8870433660868317,-0.21052610262877605
199.308739445272,-1.66152880786036,18.45879,17.23947,16.81774,16.59336,16.57114,1237655499736285200,382981923573622784,STAR,F9,sdss,340,51990,640,197.72492630765,-0.163370016623122,17.36735,16.4516,16.15997,16.05031,16.02166,1237648721238491100,8394797229454368768,STAR,F3/F5V (30743),boss,7456,56727,318,0.9523716538421579,-0.21052610262877605
198.404584691785,12.5403817128997,18.52238,17.52031,17.11689,16.94647,16.928,1237661950260281300,1910768742858516480,STAR,F5,sdss,1697,53142,424,197.791176895736,-0.0611810249245629,19.25199,18.28431,17.88689,17.74306,17.67848,1237648721238491100,8394795855064834048,STAR,F3/F5V (30743),boss,7456,56727,313,0.9726991434736392,-0.21052610262877605
199.377816490033,51.3291669210432,19.2578,18.1667,17.72366,17.56449,17.52014,1237661958294077700,1876923580764153856,STAR,F2,sdss,1667,53430,176,197.848596346523,-0.0789154477330252,17.4266,16.55573,16.30657,16.21265,16.19415,1237648721238556700,8394786784093904896,STAR,F0IV (81937),boss,7456,56727,280,0.9642132749150693,-0.21052610262877605
198.824243938508,39.2421349347268,19.59265,17.72079,16.93425,16.61135,16.44332,1237662225145921500,3293289190258665472,STAR,F9,segue1,2925,54584,116,197.799879952699,-0.172384567115372,19.98339,18.48861,17.92812,17.71215,17.61704,1237648721238556700,8394796129942740992,STAR,G8V (101501),boss,7456,56727,314,0.6077575073106622,-0.21052610262877605
199.811240812799,0.482768186442815,19.09939,17.01067,16.16726,15.80252,15.60414,1237648705121157e3,3723469547689320448,STAR,F9,segue2,3307,54970,431,197.859643114228,-0.0953042960902849,19.94083,18.32408,17.65041,17.41874,17.2878,1237648721238557e3,8.394786509216e+18,STAR,G8V (101501),boss,7456,56727,279,-0.2612061711410572,-0.21052610262877605
198.169505542215,0.288230145418739,18.36971,17.43194,17.007930000000002,16.87485,16.81965,1237648674512109600,3266373971385280512,STAR,F5,segue1,2901,54652,503,198.048760703206,-0.107216368935679,17.61811,16.60818,16.28185,16.17042,16.13626,1237648721238622200,8394784859948556288,STAR,F3/F5V (30743),boss,7456,56727,273,0.9886768844190927,-0.21052610262877605
199.309817691365,17.9917053099471,19.90042,18.31619,17.59781,17.31415,17.13946,1237668591339634700,2787884639061122048,STAR,G2,segue1,2476,53826,569,198.002846496599,-0.0923216871277603,19.45054,18.07726,17.41487,17.14416,16.97265,1237648721238622200,8394784585070649344,STAR,G4V (32923),boss,7456,56727,272,0.8954989727304814,-0.21052610262877605
199.327202916811,17.9522825056037,18.64425,17.67334,17.22432,17.06254,16.98479,1237668591339634700,2787883264671587328,STAR,F5,segue1,2476,53826,564,198.027204338944,-0.0505866629869515,20.11204,19.11336,18.67578,18.51449,18.46534,1237648721238622200,8394785959460184064,STAR,G0Va (143761),boss,7456,56727,277,0.9839529027958188,-0.21052610262877605
199.856066654635,56.3955206143431,18.37672,17.38267,17.03585,16.92135,16.86826,1237661417135341600,1486251420117133312,STAR,F5,sdss,1320,52759,231,198.200239215011,-0.039609326762957,16.93813,15.86807,15.62709,15.56128,15.57948,1237648721238687700,8394775239221813248,STAR,F3/F5V (30743),boss,7456,56727,238,0.9949249553731937,-0.21052610262877605
199.924349226073,0.449992356862852,19.9569,18.43931,17.80953,17.52382,17.4095,1237648705121157400,3723478618660249600,STAR,K1,segue2,3307,54970,464,198.169005824647,-0.0147611544619737,19.83385,18.3763,17.79807,17.55016,17.45779,1237648721238688e3,8394775514099720192,STAR,G4V (32923),boss,7456,56727,239,0.742655077261113,-0.21052610262877605
220.683188858226,0.598384717928357,19.28787,17.52747,16.75908,16.41961,16.23461,1237648705130266600,3303486886433024000,STAR,G2,segue1,2934,54626,351,220.673557433196,-0.103299716933179,18.00929,16.44116,15.82346,15.62222,15.52671,1237648721248518100,3275328668976572416,STAR,F9,segue1,2909,54653,312,-8.199282667179552e-4,-0.21052610262877605
222.554870205897,0.59301618129588,18.95988,17.82082,17.37332,17.20241,17.13798,1237648705131118600,346938552522663936,STAR,G2,sdss,308,51662,587,220.827086852493,-0.170607070228174,17.31518,16.32816,16.0175,15.88743,15.86851,1237648721248584e3,3275328394098665472,STAR,F5,segue1,2909,54653,311,0.9627007632020329,-0.21052610262877605
221.304582740584,0.967453571187038,19.04928,17.3531,16.70423,16.45543,16.3189,1237648705667399700,3303492658869069824,STAR,K1,segue1,2934,54626,372,220.943981842466,-0.0303759058348616,19.1076,17.5734,16.99293,16.77505,16.62557,1237648721248649500,3275352308476569600,STAR,F9,segue1,2909,54653,398,0.8509222894369906,-0.21052610262877605
