ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor
194.513124818694,-0.329788313947773,17.57141,16.52481,16.18738,16.06454,16.02996,1237648704045056e3,329934330774186e3,STAR,F5,sdss,293,51689,166,183.233789194998,0.208206812051559,19.50037,18.48351,18.22823,18.1204,18.08995,1237648674505556200,364932610134140900,STAR,F5,sdss,324,51666,513,0.9783719234151864
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,183.128235073417,0.203527310368368,19.9812,18.48652,17.94544,17.77443,17.64477,1237648704576946400,364928761843443700,STAR,F9,sdss,324,51666,499,0.9921138540862556
196.101849607203,-0.444708421162051,20.73649,18.85913,18.01939,17.65881,17.47367,1237648720700899600,331091571745253400,STAR,K3,sdss,294,51986,280,183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,0.9629389058919102
146.028619869579,0.556983475894607,21.97586,19.37706,18.28957,17.81773,17.61061,1237650796756795600,299618870061197300,STAR,K5,sdss,266,51630,471,183.481724285691,0.176499695706523,21.21193,19.23954,18.25123,17.83756,17.59431,1237648704577142800,364931235744606200,STAR,K5,sdss,324,51666,508,0.918745066955105
183.372033898299,0.44614911186624,21.16361,18.40556,17.02614,15.94933,15.3681,1237648705113948200,363808083761195e3,STAR,M2,sdss,323,51615,518,183.497258054676,0.118872838810888,22.14707,19.7314,18.40754,17.38452,16.84131,1237648704577142800,364930685988792300,STAR,M2,sdss,324,51666,506,0.9982217576361215
172.029022803729,-1.08544407401637,18.70649,16.88952,16.0855,15.76243,15.58134,1237674648851447800,367187995255662600,STAR,K3,sdss,326,52375,526,183.5130042434,0.0978843707802476,20.92546,19.05011,18.29729,17.98514,17.76786,1237648704577142800,364929586477164540,STAR,K1,sdss,324,51666,502,0.9908470400629998
193.323603670296,-0.331879564462377,18.7499,16.7482,15.96372,15.68902,15.54343,1237648704044531700,329976387093948400,STAR,K3,sdss,293,51689,319,183.673785499853,0.183089651088306,20.25558,18.4337,17.71027,17.44634,17.35078,1237648704577208600,364944429884139500,STAR,K1,sdss,324,51666,556,0.9549647522932901
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,183.71807730617,0.111628659026245,20.6823,19.1319,18.50692,18.22995,18.11651,1237648704577208600,364943055494604800,STAR,G2,sdss,324,51666,551,0.8823549012636922
262.818732421623,56.9882328694893,21.63442,18.98274,17.46829,15.99841,15.22691,1237656529457053700,403206612447160300,STAR,M4,sdss,358,51818,489,183.720461614973,0.0682427867917697,22.26929,19.84951,18.40311,16.99461,16.23612,1237648704577208600,364940581593442300,STAR,M4,sdss,324,51666,542,0.998081809444512
178.68478273149,0.444158880283378,21.27404,18.79899,17.51697,16.99073,16.69448,1237674651001880800,319896343629817860,STAR,K7,sdss,284,51943,512,183.746405503746,0.120132682692904,21.46047,19.08,17.85403,17.36013,17.08994,1237648704577208600,364945529395767300,STAR,K5,sdss,324,51666,560,0.9711928640573275
198.937024511815,1.00419679115113,22.13437,19.26133,17.84406,16.67902,16.04189,1237648705657634800,332308181344610300,STAR,M3,sdss,295,51985,610,183.78035420456,0.137259183319124,22.73411,19.78759,18.44277,17.32186,16.72569,1237648704577273900,364942780616697860,STAR,M3,sdss,324,51666,550,0.9997804505591766
148.966759667841,-0.77606783390261,21.56305,19.2012,17.76762,17.11802,16.75748,1237654669198295e3,30061805088384e4,STAR,K7,sdss,267,51608,10,183.79821944835,0.170505458206148,22.39767,19.41875,18.05591,17.4611,17.09486,1237648704577273900,364944979639953400,STAR,K7,sdss,324,51666,558,0.9857399166531409
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,183.811123062252,0.116333241982721,19.9653,18.9126,18.52267,18.3498,18.34671,1237648704577273900,364940306715535360,STAR,F2,sdss,324,51666,541,0.9932370384775656
177.031636734314,0.706926022764052,18.52557,17.38637,16.98541,16.83503,16.78179,1237648722303189e3,318799306171639800,STAR,G0,sdss,283,51959,617,183.847173555454,0.173694164045785,19.43133,18.46779,18.16451,18.01475,18.04155,1237648704577273900,364954875244603400,STAR,F5,sdss,324,51666,594,0.9898757100690759
172.029022803729,-1.08544407401637,18.70649,16.88952,16.0855,15.76243,15.58134,1237674648851447800,367187995255662600,STAR,K3,sdss,326,52375,526,183.955211804116,0.117699925872504,20.4833,18.63458,17.88063,17.56701,17.36499,1237648704577339600,364954050610882560,STAR,K3,sdss,324,51666,591,0.9881606725238989
171.008954194236,-3.28710459464048,19.61253,17.07463,15.78872,15.22087,14.93711,1237650369404273e3,367125597970786300,STAR,K7,sdss,326,52375,299,184.16260380985,0.176889567075977,22.41921,19.65889,18.4191,17.89149,17.58994,1237648704577405e3,364964221093439500,STAR,K7,sdss,324,51666,628,0.96160180507257
198.179732143161,0.224111847887927,21.90177,19.38369,18.02465,17.3981,17.00164,1237648674512109800,332260352588802050,STAR,M0,sdss,295,51985,436,184.183600765719,0.15597983277929,21.2671,18.98994,17.6719,17.06646,16.6774,1237648704577405200,364965320605067260,STAR,K7,sdss,324,51666,632,0.9122346052739364
198.179732143161,0.224111847887927,21.90177,19.38369,18.02465,17.3981,17.00164,1237648674512109800,332260352588802050,STAR,M0,sdss,295,51985,436,184.194308285985,0.177596946971423,21.75188,19.38641,18.11303,17.52569,17.17584,1237648704577405200,364962571825997800,STAR,K7,sdss,324,51666,622,0.8965254659435221
193.323603670296,-0.331879564462377,18.7499,16.7482,15.96372,15.68902,15.54343,1237648704044531700,329976387093948400,STAR,K3,sdss,293,51689,319,184.239859349973,0.185494345591817,20.80375,19.15815,18.46149,18.21217,18.02339,1237648704577470500,364963121581811700,STAR,K3,sdss,324,51666,624,0.9692702003790503
179.116749517998,1.03684407454017,21.82329,19.33489,17.89171,16.59424,15.97889,1237674651538948e3,320972490417399800,STAR,M3,sdss,285,51930,331,184.284998624324,0.179031290036269,22.67799,19.98216,18.57451,17.3524,16.6631,1237648704577470700,364965870360881150,STAR,M3,sdss,324,51666,634,0.99916838348374315
