ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor
169.082239988602,-0.938557858127001,19.79673,17.83767,16.80932,16.34618,15.86454,1237648720152232200,314164590202087400,STAR,M0,sdss,279,51984,140,60.7599821146268,-6.57427706953426,20.91672,18.6002,17.63792,17.2741,17.04777,1237649961386049800,3554532332042035e3,STAR,K3,segue2,3157,54802,241,0.49217985886335597
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,60.7706892579081,-6.64218858074384,19.82897,18.40321,17.76963,17.53167,17.4055,1237649961386049800,3554546350815289300,STAR,F9,segue2,3157,54802,292,0.9976135213239266
210.337210040338,-0.474453574422901,20.16176,18.4378,17.71461,17.35842,17.19664,1237648720707125500,338925591354959900,STAR,K3,sdss,301,51942,108,60.7960072637287,-6.63445735497742,19.93849,18.39318,17.74141,17.42805,17.27341,1237649961386115e3,3554535905454825500,STAR,F9,segue2,3157,54802,254,0.7966586377616096
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,60.9442371721267,-6.69161484281736,19.67553,18.65592,18.17759,17.96982,17.85961,1237649961386115300,3554532881797849e3,STAR,F5,segue2,3157,54802,243,0.9489887534506163
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,60.9631576024976,-6.59558191352589,17.05724,15.8727,15.37069,15.15767,15.06001,1237649961386180600,3554535630576918500,STAR,F2,segue2,3157,54802,253,0.978578864942706
145.566789031631,0.995268127605047,18.91744,17.79122,17.32336,17.11779,17.05456,1237650797293469700,299593306415851500,STAR,F5,sdss,266,51630,378,61.0190288803295,-6.53790706447811,18.78076,17.79906,17.40929,17.23345,17.15584,1237649961386180600,3554534256187384e3,STAR,A0,segue2,3157,54802,248,0.9737252446333441
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,61.0404260098161,-6.61337130585669,19.02474,17.64365,17.05491,16.83315,16.72563,1237649961386180600,3554526284728082400,STAR,F9,segue2,3157,54802,219,0.9046760934735592
183.71807730617,0.111628659026245,20.6823,19.1319,18.50692,18.22995,18.11651,1237648704577208600,364943055494604800,STAR,G2,sdss,324,51666,551,61.0363470476626,-6.63979315503011,20.14407,18.79789,18.24306,17.99519,17.88748,1237649961386180900,3554526009850175500,STAR,F9,segue2,3157,54802,218,0.9120035232974042
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,61.0745532769889,-6.56984695986739,20.55263,19.49896,18.95894,18.74778,18.66516,1237649961386180900,3554521886681571300,STAR,G0,segue2,3157,54802,203,0.929069789563642
183.793372372699,0.56188461582061,21.72307,19.43117,18.00846,17.30667,16.86577,1237648705114144800,364941681105070100,STAR,M0,sdss,324,51666,546,61.1616478271736,-6.57252971328866,21.7136,18.75018,17.39271,16.72316,16.33337,1237649961386246100,3554521336925757400,STAR,M0,segue2,3157,54802,201,0.9616503601631236
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,61.1839275601196,-6.54751849323088,18.82404,17.35014,16.72121,16.47569,16.3599,1237649961386246100,3554523535949013e3,STAR,F9,segue2,3157,54802,209,0.9383386058072615
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,61.1077478697952,-6.47577590284097,19.29546,18.40335,18.04926,17.91638,17.84497,1237649961386246400,3554524635460641e3,STAR,A0,segue2,3157,54802,213,0.9800262409616425
183.592097928508,0.405497759141423,20.9404,18.98152,18.13074,17.75833,17.55587,1237648721769202e3,364940856471349250,STAR,K3,sdss,324,51666,543,61.1410337959231,-6.46838425593647,20.60831,18.8135,18.03456,17.70601,17.51091,1237649961386246400,3554522161559478300,STAR,K3,segue2,3157,54802,204,0.8090448046564185
166.635168076666,-0.878224883123377,21.0641,18.59718,17.53441,17.13069,16.91208,1237648720151118e3,313071399356885e3,STAR,K5,sdss,278,51900,259,61.378816537348,-6.55142168716891,20.90805,18.4027,17.43978,17.09378,16.88786,1237649961386312e3,3554500446204829700,STAR,K5,segue2,3157,54802,125,0.9452047114149572
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,61.506023644065,-6.42817085302769,19.39381,18.02212,17.41652,17.19206,17.0871,1237649961386377500,355450401961762e4,STAR,F9,segue2,3157,54802,138,0.9913751211821507
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,61.0126845856683,-6.14808860974655,19.53005,18.27361,17.73845,17.54725,17.40009,1237649961923051800,3554536730088546300,STAR,F9,segue2,3157,54802,257,0.9519590719616222
