ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor
183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,62.9210058070343,-5.79677903883799,17.70251,16.12457,15.44122,15.1281,14.96841,1237649961923903500,3554630738332721e3,STAR,F9,segue2,3157,54802,599,0.39756904551592875
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,61.8112810932693,-5.51639545345409,18.7997,17.70678,17.21649,17.03795,16.92637,1237649962460315600,3554601051518771e3,STAR,F2,segue2,3157,54802,491,0.927392424294505
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,62.0387642154526,-5.54886707542783,20.37876,19.1067,18.61735,18.45593,18.376830000000002,1237649962460447e3,3554601601274585e3,STAR,F9,segue2,3157,54802,493,0.9875901375150746
184.284998624324,0.179031290036269,22.67799,19.98216,18.57451,17.3524,16.6631,1237648704577470700,364965870360881150,STAR,M3,sdss,324,51666,634,62.0329688161461,-5.49070073081905,22.94926,19.53098,18.1412,16.96105,16.34698,1237649962460447e3,3554607648588538e3,STAR,M3,segue2,3157,54802,515,0.9960468394115688
178.68478273149,0.444158880283378,21.27404,18.79899,17.51697,16.99073,16.69448,1237674651001880800,319896343629817860,STAR,K7,sdss,284,51943,512,62.0886394465017,-5.52611540601796,21.70001,18.79872,17.5223,16.99826,16.74525,1237649962460447e3,3.5546081983443517e+18,STAR,K7,segue2,3157,54802,517,0.9857056749659779
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,62.1093649128422,-5.58561911909199,20.68125,19.67505,19.25421,19.08971,18.99743,1237649962460447e3,355460654907691e4,STAR,F5,segue2,3157,54802,511,0.967671008508869
169.082239988602,-0.938557858127001,19.79673,17.83767,16.80932,16.34618,15.86454,1237648720152232200,314164590202087400,STAR,M0,sdss,279,51984,140,62.1752649614277,-5.63687668899752,19.6555,17.4198,16.48924,16.10732,15.89051,1237649962460512300,3554607923466445e3,STAR,K3,segue2,3157,54802,516,0.5697960861728595
183.711149416196,1.04054643930344,21.57433,19.40742,18.26204,17.8296,17.55237,1237648705650950400,364949377686464500,STAR,K5,sdss,324,51666,574,62.2121379750792,-5.55266869715039,21.25723,18.72023,17.60244,17.20782,16.95584,1237649962460512300,3554607098832724e3,STAR,K5,segue2,3157,54802,513,0.9726362348923723
145.284138787487,0.706298162339648,20.36442,18.21354,17.38881,17.11562,17.32,1237648722289295600,299583960567015400,STAR,K1,sdss,266,51630,344,62.1853442173523,-5.47760807911915,19.7342,18.05441,17.32847,17.06176,16.90807,1237649962460512300,3554604350053654500,STAR,K1,segue2,3157,54802,503,0.960578925960526
146.028619869579,0.556983475894607,21.97586,19.37706,18.28957,17.81773,17.61061,1237650796756795600,299618870061197300,STAR,K5,sdss,266,51630,471,62.2378124337729,-5.55451974137548,19.22395,16.878,15.8798,15.50251,15.29186,1237649962460512500,3554608748100165600,STAR,K5,segue2,3157,54802,519,0.9312588504014028
