ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor,cor_logit
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,36.1745546311542,-9.28756224676148,17.95231,16.87937,16.73197,16.71305,16.75502,1237652899689988e3,511238854066333700,STAR,A0,sdss,454,51908,292,0.9978476429803176,1.3833313463216126
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,36.1495317299651,-9.38379734100433,18.91644,17.8493,17.46194,17.33349,17.27726,1237652899689988e3,511238304310519800,STAR,F2,sdss,454,51908,290,0.9947697740414189,0.8461643885284624
145.84174073867,-0.27775417839393,18.4085,17.16402,16.95854,16.87708,16.88028,1237650795682988e3,299543553514694660,STAR,A0,sdss,266,51630,197,47.5276756785816,-8.07922408909823,17.8797,16.78436,16.61071,16.56472,16.60812,1237652899694903300,516868078991075300,STAR,A0,sdss,459,51924,291,0.9980055061611294,1.429383377420141
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,48.0036182156985,-8.09956923482239,17.38472,16.24375,15.95287,15.86683,15.88528,12376528996951e5,516846363636426750,STAR,F5,sdss,459,51924,212,0.9974013280383436,1.2693911436293182
194.694768940483,-0.172138124749263,17.94064,16.76863,16.85089,16.93025,17.02354,1237648721237180400,329930757361395700,STAR,A0,sdss,293,51689,153,51.0379742261185,-7.7214573224834,17.10157,15.79489,15.94627,16.0439,16.12361,1237652899696476200,5179299323456e5,STAR,A0,sdss,460,51924,58,0.9999805442652265,4.226239898795817
178.676299971143,0.420556843977806,17.7989,16.90423,16.51524,16.35223,16.27613,1237674651001880600,3.1989579387400397e+17,STAR,F5,sdss,284,51943,510,47.4929129907249,-7.82944272245972,18.11156,17.1289,16.80298,16.6493,16.5863,1237652900231774500,516862306555029500,STAR,F5,sdss,459,51924,270,0.9972667975590045,1.2388673641441181
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,47.6873704955063,-7.7397353299681,19.06072,18.13134,17.82846,17.74701,17.74019,1237652900231905300,516853785339914240,STAR,A0,sdss,459,51924,239,0.9798396058454946,0.02674718382252297
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,12.0790664005919,-9.78870061172914,18.74706,17.72845,17.3963,17.2851,17.26398,1237652900753309700,739813856976595e3,STAR,F5,sdss,657,52177,355,0.9965049996788887,1.0901517668432466
168.321196147474,0.462537522947015,20.06986,19.06,18.78931,18.72144,18.7215,1237674650997358600,313170905159198700,STAR,A0,sdss,278,51900,621,12.3173743708446,-9.77349804681245,19.36174,18.83595,18.61858,18.63477,18.69433,1237652900753441e3,739814681610315800,STAR,CV,sdss,657,52177,358,0.95312603471866,-0.491029771635884
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,12.8462333885389,-9.82891755413694,19.34665,18.051,17.51308,17.3148,17.22067,1237652900753637400,739836396964964400,STAR,F9,sdss,657,52177,437,0.9180414653014363,-0.8394311592150787
179.134074718363,-0.565218035971066,20.02479,19.02817,18.92691,18.91533,18.97368,1237648720693494300,319761378577508350,STAR,A0,sdss,284,51943,21,13.6618550910617,-9.87219470105394,17.21546,16.76111,16.75514,16.81637,16.94167,1237652900754030600,739856737930078200,STAR,WD,sdss,657,52177,511,0.991805971384808,0.5741253177077217
153.986051322573,0.666078633533934,20.89772,19.82295,19.33189,19.43369,19.33144,1237648722293096400,305223359950514200,STAR,F5,sdss,271,51883,380,36.0303862713809,-8.39309573643234,18.72738,17.48247,17.00348,17.20103,16.73845,1237652900763664400,511277062095398900,STAR,F9,sdss,454,51908,431,0.964587495745158,-0.3181518787212851
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,36.2322220595891,-8.02444149675058,18.56556,17.40966,17.02245,16.85047,16.76038,1237652901300666400,511276237461678100,STAR,G0,sdss,454,51908,428,0.9969618813085327,1.174899394489562
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,9.42976037015895,-8.97522251038583,17.96559,17.04108,16.70868,16.59875,16.57604,1237652901825937400,737564255934507e3,STAR,F5,sdss,655,52162,363,0.9948848688811182,0.859637847547766
179.134074718363,-0.565218035971066,20.02479,19.02817,18.92691,18.91533,18.97368,1237648720693494300,319761378577508350,STAR,A0,sdss,284,51943,21,9.95115694766075,-9.10536997204598,19.3443,18.81475,18.80031,18.87348,18.98847,1237652901826134e3,737579374219388900,STAR,WD,sdss,655,52162,418,0.991292798661508,0.5372833092948736
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,10.500698855959,-9.07783827172602,17.29103,16.35842,16.03998,15.91016,15.83797,1237652901826396200,737622530050779100,STAR,F5,sdss,655,52162,575,0.9960305395038087,1.013128219989507
348.047165014458,-0.749168202370671,22.07692,19.27762,17.75187,16.62675,16.02989,1237663783118438400,430174334108067840,STAR,M2,sdss,382,51816,293,13.4445778851134,-8.85874130546394,21.53642,19.22399,17.72996,16.69324,16.09485,1237652901827641300,739838870866126800,STAR,M2,sdss,657,52177,446,0.9988569699653144,1.7658605591067942
183.216044895339,0.200613869852646,20.93703,19.14316,18.37123,18.02899,17.81776,1237648704577011700,364927937209722900,STAR,K3,sdss,324,51666,496,36.3475008581512,-7.68472922623206,20.04768,18.21396,17.49783,17.22224,17.10489,1237652901837603e3,511262218688423940,STAR,K3,sdss,454,51908,377,0.8721860712144869,-1.1224147843171792
205.910567486995,-0.344157574054239,20.2399,18.80597,18.14108,17.86193,18.01416,1237648704050037e3,336664166267906050,STAR,F9,sdss,299,51671,73,322.903126828542,-8.19376580986656,19.83599,18.22982,17.59926,17.3552,17.52008,1237652934035570700,721762899688712200,STAR,K1,sdss,641,52176,222,0.8628995918431946,-1.167777338339653
198.222989164574,-1.14494115031041,20.79418,19.37243,18.84953,18.8666,18.56579,1237648702972952800,332176789705091100,STAR,G2,sdss,295,51985,132,322.929274572206,-7.72540338552963,20.24026,19.22127,18.72308,18.75773,18.44188,1237652934572441900,721763174566619100,STAR,F5,sdss,641,52176,223,0.9524304863973726,-0.5001407756865317
198.222989164574,-1.14494115031041,20.79418,19.37243,18.84953,18.8666,18.56579,1237648702972952800,332176789705091100,STAR,G2,sdss,295,51985,132,322.946289101514,-7.78475844721494,19.57703,18.31895,17.83544,17.92124,17.60406,1237652934572441900,721766198223595500,STAR,F9,sdss,641,52176,234,0.9484028234043257,-0.5504733492595155
145.284138787487,0.706298162339648,20.36442,18.21354,17.38881,17.11562,17.32,1237648722289295600,299583960567015400,STAR,K1,sdss,266,51630,344,322.964146039694,-7.8092827854719,20.65762,18.68405,17.93772,17.67778,17.19506,1237652934572441900,721765648467781600,STAR,K1,sdss,641,52176,232,0.7413016023810041,-1.59201771352137
