ra,dec,u,g,r,i,z,objid,specobjid,class,subclass,survey,plate,mjd,fiberid,ra1,dec1,u1,g1,r1,i1,z1,objid1,specobjid1,class1,subclass1,survey1,plate1,mjd1,fiberid1,cor
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,214.519499546057,4.13939135998299,18.19454,17.79081,17.68971,17.72659,17.81183,1237651822171848700,657610792123787300,STAR,WD,sdss,584,52049,310,0.9969757773688975
194.140141387946,-0.0790706287318496,19.88345,18.70391,18.8821,19.06963,19.19809,1237648721236918500,329942302233487360,STAR,A0,sdss,293,51689,195,214.79397077411,4.52580773450874,18.34752,18.00607,18.26612,18.51586,18.86636,1237651822708850700,657634156745877500,STAR,WD,sdss,584,52049,395,0.9921397681654172
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,215.590648983546,4.45916913394583,18.87689,17.99063,17.69443,17.57702,17.51026,1237651822709178600,657662744048199700,STAR,F5,sdss,584,52049,499,0.9940320130245934
177.957334610328,1.03010934268007,19.94577,18.76656,18.79495,18.88022,18.93473,1237671139871162600,319877651932145660,STAR,A0,sdss,284,51943,444,215.561564682661,4.40147040021935,19.58658,19.02141,19.05944,19.23071,19.37891,1237651822709178600,657655322344712200,STAR,WD,sdss,584,52049,472,0.9923108672520711
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,216.390119277773,4.33443998426543,18.96415,17.99149,17.59413,17.44878,17.40383,1237651822709571600,657689132327266300,STAR,F5,sdss,584,52049,595,0.9826564887651311
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,216.51426712094,4.34148356599312,19.35196,18.34769,18.00426,17.89449,17.88464,1237651822709637e3,657689956960987100,STAR,F5,sdss,584,52049,598,0.9873143911493937
183.79821944835,0.170505458206148,22.39767,19.41875,18.05591,17.4611,17.09486,1237648704577273900,364944979639953400,STAR,K7,sdss,324,51666,558,214.600731707227,4.77575337959895,23.14195,19.8744,18.55404,18.01274,17.70776,1237651823245656300,657621237484251100,STAR,K7,sdss,584,52049,348,0.98048176440996
194.694768940483,-0.172138124749263,17.94064,16.76863,16.85089,16.93025,17.02354,1237648721237180400,329930757361395700,STAR,A0,sdss,293,51689,153,215.225842005845,4.79348521592139,20.5181,19.23675,19.35725,19.44908,19.51185,1237651823245918500,657644876984248300,STAR,A0,sdss,584,52049,434,0.9994184176970407
183.750213305525,1.21560074113893,21.88885,19.49673,18.09135,17.45391,17.09956,1237648722843009300,364957898901579800,STAR,M0,sdss,324,51666,605,215.726183020006,4.83227028088392,20.31929,16.97159,15.58358,15.0306,14.73008,1237651823246115e3,657664118437734400,STAR,K3,sdss,584,52049,504,0.7738468249890885
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,215.949573180834,4.83296472775261,17.83433,16.80632,16.47504,16.34916,16.32479,1237651823246246e3,657664668193548300,STAR,F5,sdss,584,52049,506,0.9990883697267728
194.140141387946,-0.0790706287318496,19.88345,18.70391,18.8821,19.06963,19.19809,1237648721236918500,329942302233487360,STAR,A0,sdss,293,51689,195,215.982591003578,4.76549708496903,20.55251,19.46406,19.72805,19.94034,19.96301,1237651823246246100,657667142094710800,STAR,A0p,sdss,584,52049,515,0.9963527343315658
146.176134062155,-0.982427731732799,18.88086,17.73562,17.57361,17.55848,17.5657,1237648720142205e3,299511942555396100,STAR,A0,sdss,266,51630,82,216.341966428021,4.70333746003042,20.33949,19.08899,18.95082,18.96432,18.98111,1237651823246377200,657675388431919100,STAR,A0,sdss,584,52049,545,0.9996015428419529
215.672329251061,-0.28118038684906,17.85762,16.95366,16.63155,16.38815,16.20727,1237648704054362e3,342288991837513700,STAR,F5,sdss,304,51609,56,216.283688799877,5.1386821372948,20.82387,19.72304,19.45288,19.26654,19.27177,1.2376518237832479e+18,657681435745871900,STAR,F5,sdss,584,52049,567,0.9948604678494121
145.674201774357,-0.380765117132352,17.65463,16.52501,16.14332,15.99839,15.95519,1237650795682922800,299553723997251600,STAR,G0,sdss,266,51630,234,183.033813165669,5.80250896254817,17.63196,16.57822,16.20757,16.0917,16.06649,1237654606409498600,949246636184332300,STAR,F2,sdss,843,52378,411,0.9995528572213561
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,183.408637235953,5.7549751636896,17.92958,17.00693,16.70964,16.62007,16.59864,1237654606409629700,949268076661073900,STAR,F5,sdss,843,52378,489,0.9819079171871926
194.140141387946,-0.0790706287318496,19.88345,18.70391,18.8821,19.06963,19.19809,1237648721236918500,329942302233487360,STAR,A0,sdss,293,51689,195,183.609260643777,5.69869077525253,19.20124,18.83945,19.10269,19.34217,19.57574,1237654606409760800,949273024463398900,STAR,WD,sdss,843,52378,507,0.9903438642154303
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,187.306298585359,4.37739649905439,16.90674,15.92751,15.62741,15.49759,15.51719,1237654879651233800,951468749234399200,STAR,F5,sdss,845,52381,303,0.9912421414675292
146.94388122035,0.0391758255337755,18.29695,17.00027,16.4497,16.20717,16.10233,1237650796220383200,299499847927490560,STAR,G2,sdss,266,51630,38,188.309490765198,4.55506535733717,19.60984,18.40469,17.86395,17.68773,17.59374,1237654879651627300,951434939251845100,STAR,G2,sdss,845,52381,180,0.9731617490256922
177.895876719101,-0.948862726619474,21.84246,19.57861,18.3961,17.87057,17.78709,1237648720156098800,3.1981497976936243e+17,STAR,K7,sdss,284,51943,216,188.554770045065,4.35969865130296,19.09974,16.77611,15.65535,15.21652,14.93738,1237654879651758e3,951429166815799300,STAR,K7,sdss,845,52381,159,0.9921951744505219
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,188.634575354199,4.38485801421145,17.77311,16.83261,16.5417,16.43188,16.4215,1237654879651823600,951425868280916e3,STAR,F5,sdss,845,52381,147,0.9892692568825922
145.832530768193,-1.00271479359981,17.69156,16.58506,16.22235,16.07985,16.03837,1237648720142008300,299525136694929400,STAR,F5,sdss,266,51630,130,200.959624320555,4.20252445063067,17.62474,16.63027,16.30609,16.19985,16.17067,1237654879657197600,959343726289774600,STAR,F5,sdss,852,52375,280,0.9988831791261807
146.91380913331,-0.644514137461172,19.4414,18.08051,18.0917,18.14256,18.22256,1.2376507951465761e+18,299493525735630850,STAR,A0,sdss,266,51630,15,202.164798616635,4.22355673240275,18.84945,17.53768,17.61496,17.71013,17.77678,1237654879657721900,959295347778152400,STAR,A0,sdss,852,52375,104,0.9961277516741298
145.292820879058,0.376326323154304,19.31302,18.13527,17.67289,17.49996,17.44187,1237648721752424700,299584510322829300,STAR,F2,sdss,266,51630,346,202.359279233113,4.20423823607468,19.20774,18.0501,17.60619,17.48211,17.43808,1237654879657787600,959297546801408e3,STAR,G2,sdss,852,52375,112,0.9903737695001448
145.823195215599,-1.17253153226376,17.90064,16.65559,16.80802,16.93402,17.00518,1237650794609246200,299527885473998850,STAR,A0,sdss,266,51630,140,202.693695263613,4.21254964337931,17.25217,15.9663,16.18046,16.33616,16.4643,1237654879657918500,959285727051409400,STAR,A0,sdss,852,52375,69,0.9980934941252658
179.134074718363,-0.565218035971066,20.02479,19.02817,18.92691,18.91533,18.97368,1237648720693494300,319761378577508350,STAR,A0,sdss,284,51943,21,189.117231066235,4.88058037825359,20.23158,19.09429,19.04909,19.10999,19.16949,1237654880188891100,951407451461150700,STAR,A0,sdss,845,52381,80,0.9976778030369047
